,?,,?UTC,??,?,?,,,?,?,50KT,50KT,50KT,30KT,30KT,30KT,
2009,5,1,12,0901,KUJIRA,2,12.8,124.1,1006,0,0,0,0,0,0,0,0
2009,5,1,18,0901,KUJIRA,2,12.9,124.2,1004,0,0,0,0,0,0,0,0
2009,5,2,0,0901,KUJIRA,2,13.0,124.3,1004,0,0,0,0,0,0,0,0
2009,5,2,6,0901,KUJIRA,2,13.2,124.4,1002,0,0,0,0,0,0,0,0
2009,5,2,12,0901,KUJIRA,2,13.3,124.5,1002,0,0,0,0,0,0,0,0
2009,5,2,18,0901,KUJIRA,3,13.4,124.6,1000,35,0,0,0,9,80,80,0
2009,5,3,0,0901,KUJIRA,3,13.7,124.7,996,40,0,0,0,9,80,80,0
2009,5,3,6,0901,KUJIRA,3,14.1,125.0,985,45,0,0,0,9,100,100,0
2009,5,3,12,0901,KUJIRA,4,14.5,125.5,980,55,9,30,30,9,110,110,0
2009,5,3,18,0901,KUJIRA,4,15.0,126.2,975,60,9,30,30,9,120,120,0
2009,5,4,0,0901,KUJIRA,5,15.7,127.4,970,65,9,40,40,9,130,130,0
2009,5,4,6,0901,KUJIRA,5,16.4,128.5,965,70,9,50,50,9,130,130,0
2009,5,4,12,0901,KUJIRA,5,16.8,129.6,950,80,9,50,50,9,130,130,0
2009,5,4,18,0901,KUJIRA,5,17.1,131.0,940,85,9,50,50,9,130,130,0
2009,5,5,0,0901,KUJIRA,5,17.6,132.7,940,85,9,50,50,9,130,130,0
2009,5,5,6,0901,KUJIRA,5,18.3,134.0,940,85,9,50,50,9,130,130,0
2009,5,5,12,0901,KUJIRA,5,18.8,135.3,950,80,9,50,50,9,130,130,0
2009,5,5,18,0901,KUJIRA,5,19.5,136.9,950,80,9,50,50,9,130,130,0
2009,5,6,0,0901,KUJIRA,5,20.4,138.2,955,75,9,50,50,9,130,130,0
2009,5,6,6,0901,KUJIRA,5,21.6,139.8,955,75,9,50,50,9,130,130,0
2009,5,6,12,0901,KUJIRA,5,23.0,141.3,965,70,9,40,40,9,120,120,0
2009,5,6,18,0901,KUJIRA,5,24.4,142.9,970,65,9,40,40,3,110,80,0
2009,5,7,0,0901,KUJIRA,4,26.0,144.0,980,55,9,30,30,3,110,80,0
2009,5,7,6,0901,KUJIRA,3,28.4,145.5,985,45,0,0,0,3,100,70,0
2009,5,7,12,0901,KUJIRA,3,30.2,147.3,990,35,0,0,0,3,90,50,0
2009,5,7,18,0901,KUJIRA,6,32.3,149.3,998,0,0,0,0,0,0,0,0
2009,5,8,0,0901,KUJIRA,6,34.4,151.1,1000,0,0,0,0,0,0,0,0
2009,5,8,6,0901,KUJIRA,6,36.1,152.7,1000,0,0,0,0,0,0,0,0
2009,5,8,12,0901,KUJIRA,6,37.8,154.6,1000,0,0,0,0,0,0,0,0
2009,5,8,18,0901,KUJIRA,6,40.6,156.4,998,0,0,0,0,0,0,0,0
2009,5,9,0,0901,KUJIRA,6,41.9,159.3,998,0,0,0,0,0,0,0,0
2009,5,9,6,0901,KUJIRA,6,43.0,161.8,998,0,0,0,0,0,0,0,0
2009,5,9,12,0901,KUJIRA,6,43.8,163.6,1000,0,0,0,0,0,0,0,0
2009,5,9,18,0901,KUJIRA,6,44.4,164.8,1000,0,0,0,0,0,0,0,0
2009,5,10,0,0901,KUJIRA,6,45.1,165.9,1002,0,0,0,0,0,0,0,0
2009,5,10,6,0901,KUJIRA,6,45.4,166.6,1002,0,0,0,0,0,0,0,0
2009,5,10,12,0901,KUJIRA,6,45.8,167.4,1002,0,0,0,0,0,0,0,0
2009,5,10,18,0901,KUJIRA,6,45.9,168.5,1002,0,0,0,0,0,0,0,0
2009,5,11,0,0901,KUJIRA,6,46.6,169.3,1006,0,0,0,0,0,0,0,0
2009,5,11,6,0901,KUJIRA,6,47.2,170.2,1008,0,0,0,0,0,0,0,0
2009,5,11,12,0901,KUJIRA,6,48.3,171.0,1008,0,0,0,0,0,0,0,0
2009,5,11,18,0901,KUJIRA,6,49.5,171.4,1008,0,0,0,0,0,0,0,0
2009,5,12,0,0901,KUJIRA,6,50.7,171.5,1010,0,0,0,0,0,0,0,0
2009,5,12,6,0901,KUJIRA,6,52.2,170.5,1010,0,0,0,0,0,0,0,0
2009,5,12,12,0901,KUJIRA,6,53.3,168.6,1010,0,0,0,0,0,0,0,0
2009,5,12,18,0901,KUJIRA,6,53.9,167.4,1010,0,0,0,0,0,0,0,0
2009,5,13,0,0901,KUJIRA,6,54.2,166.0,1012,0,0,0,0,0,0,0,0
2009,5,13,6,0901,KUJIRA,6,55.0,164.3,1014,0,0,0,0,0,0,0,0
2009,5,2,18,0902,CHAN-HOM,2,9.7,111.1,1006,0,0,0,0,0,0,0,0
2009,5,3,0,0902,CHAN-HOM,2,9.7,111.5,1004,0,0,0,0,0,0,0,0
2009,5,3,6,0902,CHAN-HOM,2,9.7,111.5,1004,0,0,0,0,0,0,0,0
2009,5,3,12,0902,CHAN-HOM,3,9.9,111.6,1000,35,0,0,0,9,100,100,0
2009,5,3,18,0902,CHAN-HOM,3,10.2,111.9,998,35,0,0,0,9,100,100,0
2009,5,4,0,0902,CHAN-HOM,3,10.5,112.2,996,35,0,0,0,9,100,100,0
2009,5,4,6,0902,CHAN-HOM,3,10.9,112.0,992,40,0,0,0,9,100,100,0
2009,5,4,12,0902,CHAN-HOM,3,11.2,111.7,990,45,0,0,0,9,100,100,0
2009,5,4,18,0902,CHAN-HOM,4,11.3,111.6,985,50,0,0,0,9,100,100,0
2009,5,5,0,0902,CHAN-HOM,4,11.5,111.7,980,55,9,30,30,9,100,100,0
2009,5,5,6,0902,CHAN-HOM,4,12.1,111.8,980,55,9,30,30,9,100,100,0
2009,5,5,12,0902,CHAN-HOM,4,12.7,112.1,980,55,9,30,30,9,100,100,0
2009,5,5,18,0902,CHAN-HOM,4,13.3,112.6,980,55,9,30,30,9,100,100,0
2009,5,6,0,0902,CHAN-HOM,4,13.6,113.1,980,55,9,30,30,9,100,100,0
2009,5,6,6,0902,CHAN-HOM,4,14.1,113.9,980,55,9,30,30,9,100,100,0
2009,5,6,12,0902,CHAN-HOM,4,14.4,114.6,975,60,9,40,40,3,120,100,0
2009,5,6,18,0902,CHAN-HOM,5,14.8,115.9,975,65,9,40,40,3,120,100,0
2009,5,7,0,0902,CHAN-HOM,5,15.3,117.3,975,65,9,40,40,3,120,100,0
2009,5,7,6,0902,CHAN-HOM,5,15.8,118.7,975,65,9,40,40,3,120,100,0
2009,5,7,12,0902,CHAN-HOM,4,16.4,120.2,985,55,9,30,30,9,100,100,0
2009,5,7,18,0902,CHAN-HOM,4,16.6,121.5,990,50,0,0,0,8,100,80,0
2009,5,8,0,0902,CHAN-HOM,4,16.5,123.4,990,50,0,0,0,8,100,80,0
2009,5,8,6,0902,CHAN-HOM,3,16.4,124.9,990,45,0,0,0,8,100,70,0
2009,5,8,12,0902,CHAN-HOM,3,16.7,126.3,992,40,0,0,0,8,100,60,0
2009,5,8,18,0902,CHAN-HOM,3,17.0,127.0,994,35,0,0,0,8,100,60,0
2009,5,9,0,0902,CHAN-HOM,2,17.2,127.5,998,0,0,0,0,0,0,0,0
2009,5,9,6,0902,CHAN-HOM,2,17.4,128.0,1000,0,0,0,0,0,0,0,0
2009,5,9,12,0902,CHAN-HOM,2,17.8,128.7,1002,0,0,0,0,0,0,0,0
2009,5,9,18,0902,CHAN-HOM,2,18.5,128.5,1004,0,0,0,0,0,0,0,0
2009,5,10,0,0902,CHAN-HOM,2,19.0,127.9,1006,0,0,0,0,0,0,0,0
