,?,,?UTC,??,?,?,,,?,?,50KT,50KT,50KT,30KT,30KT,30KT,
2003,1,15,6,0301,YANYAN,2,6.9,163.1,1004,0,0,0,0,0,0,0,0
2003,1,15,12,0301,YANYAN,2,7.6,161.2,1004,0,0,0,0,0,0,0,0
2003,1,15,18,0301,YANYAN,2,8.2,159.6,1002,0,0,0,0,0,0,0,0
2003,1,16,0,0301,YANYAN,2,8.6,158.2,1004,0,0,0,0,0,0,0,0
2003,1,16,6,0301,YANYAN,2,9.4,156.7,1004,0,0,0,0,0,0,0,0
2003,1,16,12,0301,YANYAN,2,10.2,154.3,1004,0,0,0,0,0,0,0,0
2003,1,16,18,0301,YANYAN,2,11.1,152.7,1004,0,0,0,0,0,0,0,0
2003,1,17,0,0301,YANYAN,2,11.6,150.9,1004,0,0,0,0,0,0,0,0
2003,1,17,6,0301,YANYAN,2,12.5,149.3,1002,0,0,0,0,0,0,0,0
2003,1,17,12,0301,YANYAN,2,12.9,148.6,1004,0,0,0,0,0,0,0,0
2003,1,17,18,0301,YANYAN,2,13.2,147.8,1004,0,0,0,0,0,0,0,0
2003,1,18,0,0301,YANYAN,2,13.6,146.7,1004,0,0,0,0,0,0,0,0
2003,1,18,6,0301,YANYAN,3,14.1,146.5,1000,35,0,0,0,9,60,60,0
2003,1,18,12,0301,YANYAN,3,14.5,146.8,1000,35,0,0,0,9,60,60,0
2003,1,18,18,0301,YANYAN,3,14.6,147.4,1000,35,0,0,0,9,80,80,0
2003,1,19,0,0301,YANYAN,3,14.9,147.9,1000,35,0,0,0,1,120,80,0
2003,1,19,6,0301,YANYAN,3,15.2,148.8,1000,35,0,0,0,1,150,50,0
2003,1,19,12,0301,YANYAN,3,15.6,150.0,1000,35,0,0,0,1,150,30,0
2003,1,19,18,0301,YANYAN,3,16.2,151.3,1000,35,0,0,0,1,150,30,0
2003,1,20,0,0301,YANYAN,3,16.8,152.4,1000,35,0,0,0,1,100,20,0
2003,1,20,6,0301,YANYAN,3,17.2,153.7,1000,35,0,0,0,1,60,0,0
2003,1,20,12,0301,YANYAN,2,17.4,154.9,1004,0,0,0,0,0,0,0,0
2003,1,20,18,0301,YANYAN,2,17.9,156.1,1004,0,0,0,0,0,0,0,0
2003,1,21,0,0301,YANYAN,6,18.7,156.3,1004,0,0,0,0,0,0,0,0
2003,4,9,0,0302,KUJIRA,2,4.1,159.9,1008,0,0,0,0,0,0,0,0
